questions,answer
ما هو رمز برنامج علوم الحاسبات؟,رمز برنامج علوم الحاسبات هو B31CSCS.
كم عدد المستويات الدراسية في برنامج علوم الحاسبات؟,يتكون برنامج علوم الحاسبات من 8 مستويات دراسية.
ما هو إجمالي عدد الوحدات الدراسية في برنامج علوم الحاسبات؟,إجمالي عدد الوحدات الدراسية في برنامج علوم الحاسبات هو 127 وحدة دراسية.
ما هي أنواع المقررات في برنامج علوم الحاسبات؟,تتنوع المقررات في برنامج علوم الحاسبات بين مقررات إجبارية ومقررات اختيارية، وتشمل متطلبات الجامعة ومتطلبات الكلية ومتطلبات التخصص والمقررات الحرة.
ما هو متوسط عدد المقررات في كل مستوى دراسي؟,متوسط عدد المقررات في كل مستوى دراسي هو 6 مقررات تقريباً.
ما هو متوسط عدد الوحدات في كل مستوى دراسي؟,متوسط عدد الوحدات في كل مستوى دراسي هو 16 وحدة تقريباً.
ما هي المقررات التي تحتوي على ساعات عملية في البرنامج؟,المقررات التي تحتوي على ساعات عملية في البرنامج تشمل معظم مقررات التخصص مثل أسس البرمجة، البرمجة الشيئية، هياكل البيانات، قواعد البيانات، وغيرها.
ما هي المقررات التي لا تحتوي على ساعات عملية في البرنامج؟,المقررات التي لا تحتوي على ساعات عملية في البرنامج تشمل بعض المقررات النظرية مثل المهارات الجامعية، ريادة الأعمال، وبعض متطلبات الجامعة.
ما هي المقررات التي تحتوي على ساعات أخرى في البرنامج؟,المقررات التي تحتوي على ساعات أخرى في البرنامج تشمل مقررات مثل مقدمة في الإحصاء والاحتمالات، الرسم بالحاسب، ريادة الأعمال، مشروع التخرج 1، وغيرها.
ما هي المقررات الاختيارية في البرنامج؟,المقررات الاختيارية في البرنامج تشمل مقررات الثقافة، متطلبات الجامعة، مقررات التخصص الاختيارية، والمقررات الحرة.
كم عدد المقررات الاختيارية التي يجب على الطالب اجتيازها؟,يجب على الطالب اجتياز 9 مقررات اختيارية على الأقل، تشمل مقررين للثقافة، ومقررين لمتطلبات الجامعة، وأربعة مقررات تخصص اختيارية، ومقررين حرين.
ما هي متطلبات الجامعة في البرنامج؟,متطلبات الجامعة في البرنامج تشمل مقررات مثل الثقافة الرقمية، المهارات الجامعية، ريادة الأعمال، بالإضافة إلى مقررين اختياريين من قائمة متطلبات الجامعة.
ما هي متطلبات الكلية في البرنامج؟,متطلبات الكلية في البرنامج تشمل مقررات مثل حساب التفاضل والتكامل 1، فيزياء عامة 1، اللغة الإنجليزية للأغراض العلمية، مقدمة في الإحصاء والاحتمالات، وغيرها.
ما هي متطلبات التخصص في البرنامج؟,متطلبات التخصص في البرنامج تشمل مقررات مثل أسس البرمجة، البرمجة الشيئية، هياكل البيانات، قواعد البيانات، نظم التشغيل، وغيرها من المقررات التخصصية.
ما هي المقررات الحرة في البرنامج؟,المقررات الحرة في البرنامج هي مقرران بإجمالي 4 وحدات دراسية، يختارهما الطالب من قائمة المقررات الحرة المتاحة.
ما هي المقررات التي تتطلب مقررات سابقة؟,المقررات التي تتطلب مقررات سابقة تشمل معظم مقررات التخصص المتقدمة مثل البرمجة الشيئية (تتطلب أسس البرمجة)، هياكل البيانات (تتطلب البرمجة الشيئية)، وغيرها.
ما هي المقررات التي لها متطلبات متزامنة؟,المقررات التي لها متطلبات متزامنة هي مقررات قليلة في البرنامج، وتعني أنه يمكن دراستها في نفس الفصل مع متطلباتها.
ما هي المقررات التي تدرس باللغة الإنجليزية؟,معظم مقررات التخصص في برنامج علوم الحاسبات تدرس باللغة الإنجليزية، خاصة المقررات التقنية والبرمجية.
ما هي المقررات التي تدرس باللغة العربية؟,بعض المقررات العامة ومتطلبات الجامعة في البرنامج تدرس باللغة العربية، مثل مقررات الثقافة وريادة الأعمال.
ما هي المقررات التي تركز على البرمجة في البرنامج؟,المقررات التي تركز على البرمجة في البرنامج تشمل أسس البرمجة، البرمجة الشيئية، البرمجة المتقدمة، برمجة الويب، برمجة الموبايل، وغيرها.
ما هي المقررات التي تركز على الرياضيات في البرنامج؟,المقررات التي تركز على الرياضيات في البرنامج تشمل حساب التفاضل والتكامل 1، الجبر الخطي، رياضيات التطبيقية المحوسبة، مقدمة في الإحصاء والاحتمالات، وغيرها.
ما هي المقررات التي تركز على الشبكات في البرنامج؟,المقررات التي تركز على الشبكات في البرنامج تشمل شبكات الحاسب (CS 370).
ما هي المقررات التي تركز على قواعد البيانات في البرنامج؟,المقررات التي تركز على قواعد البيانات في البرنامج تشمل قواعد البيانات (CS 240).
ما هي المقررات التي تركز على الذكاء الاصطناعي في البرنامج؟,المقررات التي تركز على الذكاء الاصطناعي في البرنامج تشمل الذكاء الاصطناعي (CS 424).
ما هي المقررات التي تركز على أمن المعلومات في البرنامج؟,المقررات التي تركز على أمن المعلومات في البرنامج تشمل الأمن السيبراني (CS 471).
ما هي المقررات الدراسية في المستوى الأول لبرنامج علوم الحاسبات؟,المقررات الدراسية في المستوى الأول لبرنامج علوم الحاسبات هي: الثقافة الرقمية (IT 100)، لغة إنجليزية 1 (LNGT 101)، حساب التفاضل والتكامل 1 (MATH 110)، فيزياء عامة 1 (PHYS 110)، بالإضافة إلى مقرر ثقافة 1 (اختياري).
كم عدد الوحدات الدراسية في المستوى الأول؟,عدد الوحدات الدراسية في المستوى الأول هو 14 وحدة دراسية.
كم عدد المقررات في المستوى الأول؟,عدد المقررات في المستوى الأول هو 5 مقررات.
ما هو رمز ومسمى مقرر الثقافة الرقمية؟,رمز ومسمى مقرر الثقافة الرقمية هو IT 100 الثقافة الرقمية.
كم عدد الوحدات الدراسية لمقرر الثقافة الرقمية؟,عدد الوحدات الدراسية لمقرر الثقافة الرقمية هو 2 وحدة دراسية.
ما هو رمز ومسمى مقرر اللغة الإنجليزية في المستوى الأول؟,رمز ومسمى مقرر اللغة الإنجليزية في المستوى الأول هو LNGT 101 لغة إنجليزية 1.
كم عدد الوحدات الدراسية لمقرر اللغة الإنجليزية في المستوى الأول؟,عدد الوحدات الدراسية لمقرر اللغة الإنجليزية في المستوى الأول هو 4 وحدات دراسية.
ما هو رمز ومسمى مقرر حساب التفاضل والتكامل في المستوى الأول؟,رمز ومسمى مقرر حساب التفاضل والتكامل في المستوى الأول هو MATH 110 حساب التفاضل والتكامل 1.
كم عدد الوحدات الدراسية لمقرر حساب التفاضل والتكامل في المستوى الأول؟,عدد الوحدات الدراسية لمقرر حساب التفاضل والتكامل في المستوى الأول هو 3 وحدات دراسية.
ما هو رمز ومسمى مقرر الفيزياء في المستوى الأول؟,رمز ومسمى مقرر الفيزياء في المستوى الأول هو PHYS 110 فيزياء عامة 1.
كم عدد الوحدات الدراسية لمقرر الفيزياء في المستوى الأول؟,عدد الوحدات الدراسية لمقرر الفيزياء في المستوى الأول هو 3 وحدات دراسية.
ما هو المقرر الاختياري في المستوى الأول؟,المقرر الاختياري في المستوى الأول هو مقرر ثقافة 1.
كم عدد الوحدات الدراسية للمقرر الاختياري في المستوى الأول؟,عدد الوحدات الدراسية للمقرر الاختياري في المستوى الأول هو 2 وحدة دراسية.
ما هي المقررات التي تحتوي على ساعات عملية في المستوى الأول؟,المقرر الوحيد الذي يحتوي على ساعات عملية في المستوى الأول هو مقرر فيزياء عامة 1 (PHYS 110)، حيث يحتوي على 2 ساعة نظري و2 ساعة عملي.
ما هي المقررات التي لا تحتوي على ساعات عملية في المستوى الأول؟,المقررات التي لا تحتوي على ساعات عملية في المستوى الأول هي: الثقافة الرقمية (IT 100)، لغة إنجليزية 1 (LNGT 101)، حساب التفاضل والتكامل 1 (MATH 110)، ومقرر ثقافة 1 (اختياري).
ما هي المقررات التي تدرس باللغة الإنجليزية في المستوى الأول؟,المقررات التي تدرس باللغة الإنجليزية في المستوى الأول تشمل: لغة إنجليزية 1 (LNGT 101)، حساب التفاضل والتكامل 1 (MATH 110)، فيزياء عامة 1 (PHYS 110).
ما هي المقررات التي تدرس باللغة العربية في المستوى الأول؟,المقررات التي تدرس باللغة العربية في المستوى الأول تشمل: الثقافة الرقمية (IT 100) ومقرر ثقافة 1 (اختياري).
ما هي المقررات التي تعتبر متطلبات للمستويات اللاحقة في المستوى الأول؟,المقررات التي تعتبر متطلبات للمستويات اللاحقة في المستوى الأول تشمل: حساب التفاضل والتكامل 1 (MATH 110) وفيزياء عامة 1 (PHYS 110)، حيث تعتبر متطلبات سابقة لبعض مقررات المستويات اللاحقة.
ما هي القاعدة المتبعة لاختيار المقرر الاختياري في المستوى الأول؟,القاعدة المتبعة لاختيار المقرر الاختياري في المستوى الأول هي اختيار مقرر واحد من 8 مقررات ثقافية متاحة.
ما هو توزيع الساعات النظرية والعملية في المستوى الأول؟,توزيع الساعات في المستوى الأول يشمل 28 ساعة نظرية و2 ساعة عملية، حيث يحتوي مقرر الثقافة الرقمية على 2 ساعة نظري، ومقرر لغة إنجليزية 1 على 20 ساعة نظري، ومقرر حساب التفاضل والتكامل 1 على 4 ساعات نظري، ومقرر فيزياء عامة 1 على 2 ساعة نظري و2 ساعة عملي.
ما هي المقررات الدراسية في المستوى الثاني لبرنامج علوم الحاسبات؟,المقررات الدراسية في المستوى الثاني لبرنامج علوم الحاسبات هي: أسس البرمجة (CS 101)، المهارات الجامعية (GNCR 100)، مقدمة حوسبة (IT 101)، اللغة الإنجليزية للأغراض العلمية (LNGT 102)، اللغة الإنجليزية للأغراض العلمية (LNGT 103).
كم عدد الوحدات الدراسية في المستوى الثاني؟,عدد الوحدات الدراسية في المستوى الثاني هو 14 وحدة دراسية.
كم عدد المقررات في المستوى الثاني؟,عدد المقررات في المستوى الثاني هو 5 مقررات.
ما هو رمز ومسمى مقرر أسس البرمجة؟,رمز ومسمى مقرر أسس البرمجة هو CS 101 أسس البرمجة.
كم عدد الوحدات الدراسية لمقرر أسس البرمجة؟,عدد الوحدات الدراسية لمقرر أسس البرمجة هو 3 وحدات دراسية.
ما هو رمز ومسمى مقرر المهارات الجامعية؟,رمز ومسمى مقرر المهارات الجامعية هو GNCR 100 المهارات الجامعية.
كم عدد الوحدات الدراسية لمقرر المهارات الجامعية؟,عدد الوحدات الدراسية لمقرر المهارات الجامعية هو 2 وحدة دراسية.
ما هو رمز ومسمى مقرر مقدمة حوسبة؟,رمز ومسمى مقرر مقدمة حوسبة هو IT 101 مقدمة حوسبة.
كم عدد الوحدات الدراسية لمقرر مقدمة حوسبة؟,عدد الوحدات الدراسية لمقرر مقدمة حوسبة هو 3 وحدات دراسية.
ما هو رمز ومسمى مقرر اللغة الإنجليزية للأغراض العلمية؟,رمز ومسمى مقرر اللغة الإنجليزية للأغراض العلمية هو LNGT 102 اللغة الإنجليزية للأغراض العلمية.
كم عدد الوحدات الدراسية لمقرر اللغة الإنجليزية للأغراض العلمية؟,عدد الوحدات الدراسية لمقرر اللغة الإنجليزية للأغراض العلمية (LNGT 102) هو 4 وحدات دراسية.
ما هو رمز ومسمى المقرر الثاني للغة الإنجليزية للأغراض العلمية؟,رمز ومسمى المقرر الثاني للغة الإنجليزية للأغراض العلمية هو LNGT 103 اللغة الإنجليزية للأغراض العلمية.
كم عدد الوحدات الدراسية للمقرر الثاني للغة الإنجليزية للأغراض العلمية؟,عدد الوحدات الدراسية للمقرر الثاني للغة الإنجليزية للأغراض العلمية (LNGT 103) هو 2 وحدة دراسية.
ما هي المقررات التي تحتوي على ساعات عملية في المستوى الثاني؟,المقررات التي تحتوي على ساعات عملية في المستوى الثاني هي: أسس البرمجة (CS 101) ومقدمة حوسبة (IT 101)، حيث يحتوي كل منهما على 2 ساعة نظري و2 ساعة عملي.
ما هي المقررات التي لا تحتوي على ساعات عملية في المستوى الثاني؟,المقررات التي لا تحتوي على ساعات عملية في المستوى الثاني هي: المهارات الجامعية (GNCR 100)، اللغة الإنجليزية للأغراض العلمية (LNGT 102)، اللغة الإنجليزية للأغراض العلمية (LNGT 103).
ما هي المقررات التي تدرس باللغة الإنجليزية في المستوى الثاني؟,المقررات التي تدرس باللغة الإنجليزية في المستوى الثاني تشمل: أسس البرمجة (CS 101)، مقدمة حوسبة (IT 101)، اللغة الإنجليزية للأغراض العلمية (LNGT 102)، اللغة الإنجليزية للأغراض العلمية (LNGT 103).
ما هي المقررات التي تدرس باللغة العربية في المستوى الثاني؟,المقررات التي تدرس باللغة العربية في المستوى الثاني تشمل: المهارات الجامعية (GNCR 100).
ما هي المقررات التي تعتبر متطلبات للمستويات اللاحقة في المستوى الثاني؟,المقررات التي تعتبر متطلبات للمستويات اللاحقة في المستوى الثاني تشمل: أسس البرمجة (CS 101)، حيث يعتبر متطلباً سابقاً لمقرر البرمجة الشيئية في المستوى الثالث.
ما هو توزيع الساعات النظرية والعملية في المستوى الثاني؟,توزيع الساعات في المستوى الثاني يشمل 30 ساعة نظرية و4 ساعات عملية، حيث يحتوي مقرر أسس البرمجة على 2 ساعة نظري و2 ساعة عملي، ومقرر المهارات الجامعية على 2 ساعة نظري، ومقرر مقدمة حوسبة على 2 ساعة نظري و2 ساعة عملي، ومقرر اللغة الإنجليزية للأغراض العلمية (LNGT 102) على 20 ساعة نظري، ومقرر اللغة الإنجليزية للأغراض العلمية (LNGT 103) على 4 ساعات نظري.
ما هي أهمية مقرر أسس البرمجة في برنامج علوم الحاسبات؟,مقرر أسس البرمجة (CS 101) يعتبر من أهم المقررات في برنامج علوم الحاسبات، حيث يعد حجر الأساس للمقررات البرمجية اللاحقة. يتعلم الطالب في هذا المقرر المفاهيم الأساسية للبرمجة وحل المشكلات وتطوير الخوارزميات، ويعتبر متطلباً سابقاً لمقرر البرمجة الشيئية في المستوى الثالث.
ما هي المقررات الدراسية في المستوى الثالث لبرنامج علوم الحاسبات؟,المقررات الدراسية في المستوى الثالث لبرنامج علوم الحاسبات هي: البرمجة الشيئية (CS 202)، تصميم المنطق الرقمي (CS 210)، رياضيات التطبيقية المحوسبة (CS 220)، الجبر الخطي (MATH 222)، الأنظمة الإلكترونية (PHYS 210)، بالإضافة إلى مقرر جامعة 1 (اختياري).
كم عدد الوحدات الدراسية في المستوى الثالث؟,عدد الوحدات الدراسية في المستوى الثالث هو 17 وحدة دراسية.
كم عدد المقررات في المستوى الثالث؟,عدد المقررات في المستوى الثالث هو 6 مقررات.
ما هو رمز ومسمى مقرر البرمجة الشيئية؟,رمز ومسمى مقرر البرمجة الشيئية هو CS 202 البرمجة الشيئية.
كم عدد الوحدات الدراسية لمقرر البرمجة الشيئية؟,عدد الوحدات الدراسية لمقرر البرمجة الشيئية هو 3 وحدات دراسية.
ما هو رمز ومسمى مقرر تصميم المنطق الرقمي؟,رمز ومسمى مقرر تصميم المنطق الرقمي هو CS 210 تصميم المنطق الرقمي.
كم عدد الوحدات الدراسية لمقرر تصميم المنطق الرقمي؟,عدد الوحدات الدراسية لمقرر تصميم المنطق الرقمي هو 3 وحدات دراسية.
ما هو رمز ومسمى مقرر رياضيات التطبيقية المحوسبة؟,رمز ومسمى مقرر رياضيات التطبيقية المحوسبة هو CS 220 رياضيات التطبيقية المحوسبة.
كم عدد الوحدات الدراسية لمقرر رياضيات التطبيقية المحوسبة؟,عدد الوحدات الدراسية لمقرر رياضيات التطبيقية المحوسبة هو 3 وحدات دراسية.
ما هو رمز ومسمى مقرر الجبر الخطي؟,رمز ومسمى مقرر الجبر الخطي هو MATH 222 الجبر الخطي.
كم عدد الوحدات الدراسية لمقرر الجبر الخطي؟,عدد الوحدات الدراسية لمقرر الجبر الخطي هو 3 وحدات دراسية.
ما هو رمز ومسمى مقرر الأنظمة الإلكترونية؟,رمز ومسمى مقرر الأنظمة الإلكترونية هو PHYS 210 الأنظمة الإلكترونية.
كم عدد الوحدات الدراسية لمقرر الأنظمة الإلكترونية؟,عدد الوحدات الدراسية لمقرر الأنظمة الإلكترونية هو 3 وحدات دراسية.
ما هو المقرر الاختياري في المستوى الثالث؟,المقرر الاختياري في المستوى الثالث هو مقرر جامعة 1.
كم عدد الوحدات الدراسية للمقرر الاختياري في المستوى الثالث؟,عدد الوحدات الدراسية للمقرر الاختياري في المستوى الثالث هو 2 وحدة دراسية.
ما هي المقررات التي تحتوي على ساعات عملية في المستوى الثالث؟,المقررات التي تحتوي على ساعات عملية في المستوى الثالث هي: البرمجة الشيئية (CS 202)، تصميم المنطق الرقمي (CS 210)، رياضيات التطبيقية المحوسبة (CS 220)، الأنظمة الإلكترونية (PHYS 210)، حيث يحتوي كل منها على 2 ساعة نظري و2 ساعة عملي.
ما هي المقررات التي تدرس باللغة الإنجليزية في المستوى الثالث؟,جميع المقررات في المستوى الثالث تدرس باللغة الإنجليزية باستثناء مقرر جامعة 1 (اختياري) الذي قد يدرس باللغة العربية حسب طبيعة المقرر المختار.
ما هي المقررات التي تعتبر متطلبات للمستويات اللاحقة في المستوى الثالث؟,المقررات التي تعتبر متطلبات للمستويات اللاحقة في المستوى الثالث تشمل: البرمجة الشيئية (CS 202) التي تعتبر متطلباً سابقاً لمقرر هياكل البيانات في المستوى الرابع، وتصميم المنطق الرقمي (CS 210) الذي يعتبر متطلباً سابقاً لمقرر تنظيم وبنيان الحاسب في المستوى الخامس.
ما هي القاعدة المتبعة لاختيار المقرر الاختياري في المستوى الثالث؟,القاعدة المتبعة لاختيار المقرر الاختياري في المستوى الثالث هي اختيار مقرر واحد من 5 مقررات متاحة ضمن متطلبات الجامعة.
ما هو توزيع الساعات النظرية والعملية في المستوى الثالث؟,توزيع الساعات في المستوى الثالث يشمل 6 ساعات نظرية و11 ساعة عملية، حيث تحتوي معظم المقررات على ساعات عملية بالإضافة إلى الساعات النظرية.
